89132918,86278985,2,"./a/AMOS/AMOS-3.1.0_GCC-7.3.0.patch","patch",54382,54382,400,49,8,1,"0100660",1548125364,1548125364,1557351204,-1,0
86429093,71981968,2,"./r/randrproto/randrproto-1.5.0-foss-2015b.eb","eb",54382,54382,483,49,8,1,"0100660",1584656382,1584656382,1584656382,-1,0
95336276,96863911,1,"./n/NanoSV","",54382,54382,4096,49,8,2,"0040770",1557351207,1557351207,1557351207,1,1019
94631576,96863906,1,"./i/inputproto","",54382,54382,4096,49,8,2,"0040770",1557351206,1584656385,1584656385,2,996
96442824,96863910,1,"./m/make","",54382,54382,4096,49,8,2,"0040770",1557351207,1584656384,1584656384,1,708
89614191,89614181,2,"./k/kbproto/kbproto-1.0.7-foss-2016b.eb","eb",54382,54382,508,49,8,1,"0100660",1584656385,1584656385,1584656385,-1,0
81459869,72183653,2,"./f/fast5/fast5-0.6.5.eb","eb",54382,54382,784,49,8,1,"0100660",1548125369,1548125369,1557351205,-1,0
79886071,88735857,1,"./v/vdjtools","",54382,54382,4096,49,8,2,"0040770",1557351209,1584656381,1584656381,1,959
82397841,88735858,1,"./w/WHAM","",54382,54382,4096,49,8,2,"0040770",1557351209,1584656381,1584656381,1,876
73125108,78807998,2,"./b/BamTools/BamTools-2.4.1-foss-2016b.eb","eb",54382,54382,927,49,8,1,"0100660",1584656388,1584656388,1584656388,-1,0
68187097,96863902,1,"./e/expat","",54382,54382,4096,49,8,2,"0040770",1557351205,1584656387,1584656387,1,487
96816498,73770145,2,"./t/tbb/tbb-2018_U5-GCCcore-7.3.0.eb","eb",54382,54382,593,49,8,1,"0100660",1548125371,1548125371,1557351209,-1,0
69208699,88735851,1,"./p/PANDAseq","",54382,54382,4096,49,8,2,"0040770",1557351207,1557351207,1557351207,1,1065
89003642,72062753,2,"./d/DMTCP/DMTCP-2.5.2-foss-2016b.eb","eb",54382,54382,634,49,8,1,"0100660",1548125365,1548125365,1557351205,-1,0
84280906,88735856,1,"./u/umap","",54382,54382,4096,49,8,2,"0040770",1557351209,1557351209,1557351209,1,1520
91054701,69642298,2,"./j/jemalloc/jemalloc-5.0.1-foss-2016b.eb","eb",54382,54382,930,49,8,1,"0100660",1584656385,1584656385,1584656385,-1,0
87402176,88735861,1,"./z/zstd","",54382,54382,4096,49,8,2,"0040770",1577821104,1577821259,1577821259,1,992
86429092,71981968,2,"./r/randrproto/randrproto-1.5.0-foss-2016b.eb","eb",54382,54382,483,49,8,1,"0100660",1584656382,1584656382,1584656382,-1,0
81331601,96863900,1,"./c/canu","",54382,54382,4096,49,8,2,"0040770",1557351205,1557351205,1557351205,2,1613
72629647,88735852,1,"./q/qiime2","",54382,54382,4096,49,8,2,"0040770",1557351208,1557351208,1557351208,2,17656
72062751,96863901,1,"./d/DIAMOND","",54382,54382,4096,49,8,2,"0040770",1557351205,1584656387,1584656387,2,1540
79784676,78449867,2,"./s/SAMtools/SAMtools-1.3.1-foss-2016b.eb","eb",54382,54382,1033,49,8,1,"0100660",1584656382,1584656382,1584656382,-1,0
86278985,96863898,1,"./a/AMOS","",54382,54382,4096,49,8,2,"0040770",1557351204,1557351204,1557351204,2,1605
91054700,69642298,2,"./j/jemalloc/jemalloc-5.0.1-skip-install-doc.patch","patch",54382,54382,515,49,8,1,"0100660",1584656385,1584656385,1584656385,-1,0
89003643,72062753,2,"./d/DMTCP/DMTCP-2.5.2-foss-2016b.eb.bak_20180925124236","bak_20180925124236",54382,54382,553,49,8,1,"0100660",1548125365,1548125365,1557351205,-1,0
79872882,96863904,1,"./g/gc","",54382,54382,4096,49,8,2,"0040770",1557351206,1584656386,1584656386,1,754
89614181,96863908,1,"./k/kbproto","",54382,54382,4096,49,8,2,"0040770",1557351206,1584656385,1584656385,2,1016
72183653,96863903,1,"./f/fast5","",54382,54382,4096,49,8,2,"0040770",1557351205,1557351205,1557351205,2,2108
71287706,90073526,2,"./x/Xerces/Xerces-C++-3.1.4-foss-2016b.eb","eb",54382,54382,683,49,8,1,"0100660",1551121111,1551121111,1557351209,-1,0
71981968,88735853,1,"./r/randrproto","",54382,54382,4096,49,8,2,"0040770",1557351208,1584656382,1584656382,2,966
87700070,73770144,2,"./t/tandem/tandem-foss-2016b.eb","eb",54382,54382,857,49,8,1,"0100660",1584656381,1584656381,1584656381,-1,0
87965064,86913867,2,"./o/ont_albacore/ont_albacore-1.0.2-cp35-cp35m-manylinux1_x86_64.whl","whl",54382,54382,9152943,49,17960,1,"0100660",1584656383,1584656383,1584656383,-1,0
95951166,92239398,2,"./h/HMMER/HMMER-3.1b2-foss-2016b.eb","eb",54382,54382,1693,49,8,1,"0100660",1584656385,1584656385,1584656385,-1,0
79784675,78449867,2,"./s/SAMtools/SAMtools-1.3.1.patch","patch",54382,54382,1059,49,8,1,"0100660",1584656382,1584656382,1584656382,-1,0
77317880,81331603,2,"./c/CapSeg/CapSeg-1.0.1.eb","eb",54382,54382,582,49,8,1,"0100660",1584656387,1584656387,1584656387,-1,0
81331605,96863900,1,"./c/cellranger","",54382,54382,4096,49,8,2,"0040770",1557351205,1597250867,1597250867,0,0
73770145,88735855,1,"./t/tbb","",54382,54382,4096,49,8,2,"0040770",1557351209,1584656381,1584656381,2,1158
97193846,69642298,2,"./j/jemalloc/jemalloc-5.1.0-GCCcore-7.3.0.eb","eb",54382,54382,1091,49,8,1,"0100660",1548125369,1548125369,1557351206,-1,0
87597268,89132915,0,"./y","",54382,54382,4096,49,8,3,"0040770",1557351063,1579125909,1579125909,1,4096
83283672,78807998,2,"./b/BamTools/BamTools-2.5.1-foss-2018b.eb","eb",54382,54382,619,49,8,1,"0100660",1548125364,1548125364,1557351204,-1,0
